id,user_id,card_id,tcg,image_url,created_at,purchase_price
32fe871b-8d1b-490e-ac3a-83496373bc8a,595944d6-9be2-4fd8-97b4-a7ea66558e62,/OnePiece/Products/Singles/The-Best-Non-English/Yamato-OP04-112,OnePiece,,2026-07-21 22:01:58.912242+00,
336002f4-5e31-4f02-9af2-108f2db225c5,ba3e96eb-1198-4820-a607-c87b8139e72d,/Riftbound/Products/Singles/Spiritforged/Irelia-Fervent-V3-Showcase,Riftbound,,2026-07-21 14:37:11.315793+00,40
36882748-f555-4518-b1e9-5bb97e5e2be5,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Starter-Deck-Straw-Hat-Crew-Non-English/MonkeyDLuffy-ST01-001,OnePiece,,2026-07-21 14:06:03.42324+00,
3970ad91-9b65-43d3-83ed-c8633e59c6ca,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/The-Best-Vol-2-Non-English/Gum-Gum-Jet-Gatling-OP03-072-V2,OnePiece,,2026-07-21 14:18:37.250909+00,
3a259e3e-d2fb-4762-9981-669cbf7cfef6,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Special-Tournament-Promos-Japanese/MonkeyDLuffy-P-001,OnePiece,,2026-07-21 12:12:51.878188+00,20
3bd85c3f-6a9a-4387-bc16-3eaf1e34d311,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/MonkeyDLuffy-ST13-003-V1,OnePiece,,2026-07-21 12:57:34.924451+00,3
3c262b47-244c-40e6-932e-ee93d0af51e9,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/St-Ethanbaron-V-Nusjuro-OP13-080-V3,OnePiece,,2026-07-21 12:11:46.903021+00,
3c648ef5-05e6-488b-9e97-7261e81717f2,595944d6-9be2-4fd8-97b4-a7ea66558e62,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/Tony-TonyChopper-EB02-003-V1,OnePiece,,2026-07-21 21:56:31.021069+00,
3ebefdd6-197a-4d3e-883e-eff399677014,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/MonkeyDLuffy-OP09-119,OnePiece,,2026-07-21 10:19:46.068677+00,85
3f13a6c0-5b3d-4060-b38b-f361a3e1dede,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/Luffy-Tarou-ST18-005-V1,OnePiece,,2026-07-21 14:16:33.429646+00,
3f4e56ab-bacf-4c5c-b99f-6afc4968a292,ba3e96eb-1198-4820-a607-c87b8139e72d,/Riftbound/Products/Singles/Origins/Zhonyas-Hourglass,Riftbound,,2026-07-21 13:05:13.66278+00,5
41c724b9-fc17-421b-a516-ac913dd4afad,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Special-Tournaments-Promos/Gum-Gum-Jet-Pistol-ST01-015-V1,OnePiece,,2026-07-21 14:21:43.93119+00,
4343d642-1236-4342-bffc-e5d9ca48685d,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Wings-of-the-Captain-Japanese/MonkeyDLuffy-OP06-013-V2,OnePiece,,2026-07-21 12:42:11.324161+00,4
45ba3c5e-2c0e-4e76-a541-c5fd9b176efc,595944d6-9be2-4fd8-97b4-a7ea66558e62,/OnePiece/Products/Singles/Emperors-in-the-New-World-Non-English/Buggy-OP09-051-V4,OnePiece,,2026-07-21 22:04:35.629204+00,300
